,name,hometown,high school?,sport,college
148,Marcus Simms,"Bowie, Md.",Sherwood HS,football,west_virginia
149,Alec Sinkfield,"Delray Beach, Fla.",American Heritage HS,football,west_virginia
150,Eric Sjostedt,"Ystad, Sweden",Bristol Academy of Sport,football,west_virginia
151,Garrett Smyton,"Elkins, W.Va.",Elkins,football,west_virginia
152,Dillon Spalding,"Lorton, Va.",South County,football,west_virginia
153,Evan Staley,"Romney, W.Va.",Hampshire HS,football,west_virginia
154,JoVanni Stewart,"Katy, Texas",Katy HS,football,west_virginia
155,Adam Stilley,"Martinsburg, W.Va.",Martinsburg HS,football,west_virginia
156,Dante Stills,"Fairmont, W.Va.",Fairmont Senior,football,west_virginia
157,Darius Stills,"Fairmont, W.Va.",Fairmont Senior HS,football,west_virginia
158,Rex Sunahara,"Bay Village, Ohio",Bay/Rhode Island,football,west_virginia
159,Logan Thimons,"Sarver, Pa.",Freeport Area HS,football,west_virginia
160,Brenon Thrift,"Monroeville, Pa.",Gateway HS,football,west_virginia
161,Tyler Thurmond,"Buford, Ga.",Buford HS,football,west_virginia
162,Dylan Tonkery,"Bridgeport, W.Va.",Bridgeport HS,football,west_virginia
163,Sam Trapuzzano,"Washington, Pa.",Trinity,football,west_virginia
164,Joseph Turner,"Morgantown, W.Va.",Morgantown HS,football,west_virginia
165,Junior Uzebu,"Atlanta, Ga.",Alpharetta,football,west_virginia
166,Keith Washington,"Prattville, Ala.",Prattville,football,west_virginia
167,Brady Watson,"Ridgeley, W.Va.",Frankfort HS,football,west_virginia
168,Trevon Wesco,"Martinsburg, W.Va.",Musselman HS,football,west_virginia
169,Bryce Wheaton,"Fuquay-Varina, N.C.",Holly Springs,football,west_virginia
170,Kelby Wickline,"Stillwater, Okla.",Stillwater HS,football,west_virginia
171,Luke Williams,"Parkersburg, W.Va.",Parkersburg South HS,football,west_virginia
172,Stone Wolfley,"Morgantown, W.Va.",Morgantown HS,football,west_virginia
173,Albert Andres-Llop,"Vila-real, Castellon, Spain",IES Francesc Tarrega Vila-real,mens soccer,west_virginia
