,name,hometown,high school,school,name text,hometown text,high school text,school text,sport,college
19,Hunter Johnson,"Brownsburg, Ind. / Brownsburg","Brownsburg, Ind. / Brownsburg","Brownsburg, Ind. / Brownsburg",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
20,Berkeley Holman,"Irvine, Calif. / Saint John Bosco","Irvine, Calif. / Saint John Bosco","Irvine, Calif. / Saint John Bosco",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
21,Jalen Brown,"Phoenix, Ariz. / Mountain Pointe","Phoenix, Ariz. / Mountain Pointe","Phoenix, Ariz. / Mountain Pointe",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
22,Daniel Kubiuk,"Barrington, Ill. / Barrington","Barrington, Ill. / Barrington","Barrington, Ill. / Barrington",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
23,Cameron Ruiz,"Lake Villa, Ill. / Lakes Community","Lake Villa, Ill. / Lakes Community","Lake Villa, Ill. / Lakes Community",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
24,Clayton Thorson,"Wheaton, Ill. / Wheaton North","Wheaton, Ill. / Wheaton North","Wheaton, Ill. / Wheaton North",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
25,Riley Lees,"Libertyville, Ill. / Libertyville","Libertyville, Ill. / Libertyville","Libertyville, Ill. / Libertyville",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
26,John Moten IV,"St. Louis, Mo. / John Burroughs School","St. Louis, Mo. / John Burroughs School","St. Louis, Mo. / John Burroughs School",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
27,Drake Anderson,"Chandler, Ariz. / Chandler","Chandler, Ariz. / Chandler","Chandler, Ariz. / Chandler",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
28,Bryce Jackson,"Lantana, Texas / John H. Guyer","Lantana, Texas / John H. Guyer","Lantana, Texas / John H. Guyer",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
29,Steven Reese,"Buford, Ga. / Buford","Buford, Ga. / Buford","Buford, Ga. / Buford",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
30,Alex Bousky,"Peoria, Ill. / Peoria Notre Dame","Peoria, Ill. / Peoria Notre Dame","Peoria, Ill. / Peoria Notre Dame",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
31,Montre Hartage,"Cordele, Ga. / Crisp County","Cordele, Ga. / Crisp County","Cordele, Ga. / Crisp County",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
32,Isaiah Bowser,"Sidney, Ohio / Sidney","Sidney, Ohio / Sidney","Sidney, Ohio / Sidney",Name,Hometown / High School,Hometown / High School,Hometown / High School,football,northwestern
