,name,hometown,high school?,sport,college
121,Alex Forsyth,"West Linn, Ore.",West Linn,football,oregon
122,Johnny Johnson III,"Chandler, Ariz.",Chandler,football,oregon
123,Daewood Davis,"Hollywood, Fla.",Deerfield Beach,football,oregon
124,Cam McCormick,"Bend, Ore.",Summit,football,oregon
125,Alfonso Cobb,"Chesterhill, Ohio",Federal Hocking,football,oregon
126,Brenden Schooler,"Dana Point, Calif.",Mission Viejo,football,oregon
127,Ryan Bay,"Tigard, Ore.",Tigard,football,oregon
128,Drayton Carlberg,"Minneapolis, Minn.",DeLaSalle,football,oregon
129,Jack  Vecchi,"Portland, Ore.",Central Catholic,football,oregon
130,Malik Young,"Marietta, GA",Sprayberry,football,oregon
131,Adam Stack,"Honolulu, Hawaii",Kamehameha,football,oregon
132,Jalen Jelks,"Phoenix, Ariz.",Desert Vista,football,oregon
133,Austin Faoliu,"Santa Ana, Calif.",Mater Dei,football,oregon
134,Katelyn Carter,"Fullerton, Calif.",Troy HS,womens soccer,oregon
135,Halla Hinriksdottir,"Mosfellsbaer, Iceland",The Commercial College,womens soccer,oregon
136,Eden Hardy,"Arcadia, Calif.",Arcadia HS,womens soccer,oregon
137,Chardonnay Curran,"Ewa Beach, Hawaii",James Campbell HS,womens soccer,oregon
138,True Dydasco,"Honolulu, Hawaii",Punahou HS,womens soccer,oregon
139,Chai Cortez,"Kahului, Hawaii",Maui HS,womens soccer,oregon
140,Jordan Wormdahl,"Eugene, Ore.",North Eugene HS,womens soccer,oregon
141,Emma  Eddy,"Eugene, Ore.",Sheldon HS,womens soccer,oregon
142,Taylor Kuroda,"Honolulu, Hawai'i",Iolani School,womens soccer,oregon
143,Alyssa Hinojosa,"Sylmar, Calif.",Viewpoint School,womens soccer,oregon
144,Nicole  Seaman,"Scottsdale, Ariz.",Desert Mountain HS,womens soccer,oregon
145,Bayley Bruner,"Draper, Utah",Corner Canyon HS,womens soccer,oregon
146,Mia  Palmer,"Portland, Ore.",Grant HS,womens soccer,oregon
147,Kyra Fawcett,"Bountiful, Utah",Woods Cross HS,womens soccer,oregon
148,Emily Kaestner,"Houston, Tex.",Houston Christian HS,womens soccer,oregon
149,Jessica Yu,"Sunnyvale, Calif.",Fremont HS,womens soccer,oregon
150,Zoe Hasenauer,"Simi Valley, Calif.",Royal HS,womens soccer,oregon
151,Claire Watkins,"San Diego, Calif.",Helix Charter HS,womens soccer,oregon
152,Marissa Everett,"Canyon Lake, Calif.",Temescal Canyon HS,womens soccer,oregon
153,Brianne Parsons,"Santa Rosa, Calif.",Maria Carrillo HS,womens soccer,oregon
154,Maja Flengsrud,"Hamar, Norway",WANG Toppidrett HS,womens soccer,oregon
155,Mary Jane Erving,"Eugene, Ore.",Sheldon HS,womens soccer,oregon
156,Hannah Wilson,"San Antonio, Texas",Alamo Heights HS,womens soccer,oregon
157,Hannah  Taylor,"Edmonds, Wash.",Meadowdale HS,womens soccer,oregon
158,Charlotte Brisley,"Excelsior, Minn.",Shattuck-St. Mary's School,womens soccer,oregon
159,Sofia Chambers,"Westlake Village, Calif.",Agoura HS,womens soccer,oregon
160,Jazmin Jackmon,"Pasadena, Calif.",South Pasadena HS,womens soccer,oregon
161,Tanner Anderson,"Spokane, Wash.",North Central,mens cross country,oregon
162,Reed Brown,"Grapevine, Texas",Southlake Carroll,mens cross country,oregon
163,Connor Clark,"Mill Valley, Calif.",San Francisco University HS,mens cross country,oregon
164,Bryan Fernandez,"Santa Barbara, Calif.",Dos Pueblos,mens cross country,oregon
165,Blake Haney,"Bakersfield, Calif.",Stockdale,mens cross country,oregon
166,Jaxson Hoey,"Downington, Pa.",Downington West,mens cross country,oregon
167,Matthew Maton,"Bend, Ore.",Summit,mens cross country,oregon
168,Jackson Mestler,"Eugene, Ore.",Sheldon,mens cross country,oregon
169,Travis Neuman,"Bend, Ore.",Summit,mens cross country,oregon
170,Sam Prakel,"Versailles, Ohio",Versailles,mens cross country,oregon
171,Mick Stanovsek,N/A,N/A,mens cross country,oregon
172,Austin Tamagno,"Brea, Calif.",Brea Olinda,mens cross country,oregon
173,Cooper  Teare,"Alameda, Calif.",St. Joseph Notre Dame,mens cross country,oregon
174,Levi Thomet,"Kodiak, Alaska",Kodiak,mens cross country,oregon
175,James West,"Kent, England, UK",Loughborough University,mens cross country,oregon
176,Jack Yearian,"Tacoma, Wash.",Bellarmine Prep,mens cross country,oregon
177,Emma Abrahamson,"Carlsbad, Calif.",La Costa Canyon,womens cross country,oregon
178,Lilli Burdon,"Auckland, New Zealand",St. Hilda's,womens cross country,oregon
179,Carmela Cardama Baez,"Vigo, Spain",IES do Castro,womens cross country,oregon
180,Alli Cash,"Lexexa, Kan.",Shawnee Mission West,womens cross country,oregon
181,Susan Ejore,"Nakuru, Kenya",St. Gabriel's Mission School,womens cross country,oregon
182,Brooke Feldmeier,"Olympia, Wash.",Tumwater,womens cross country,oregon
183,Jessica Hull,"Albion Park, Australia",Albion Park,womens cross country,oregon
184,Rennie Kendrick,"Portland, Ore.",Grant,womens cross country,oregon
185,Kiley McCarthy,"Carsbad, Calif.",Carlsbad,womens cross country,oregon
186,Kate Murphy,"Burke, Va.",Lake Braddock,womens cross country,oregon
187,Judy Pendergast,"Naperville, Ill.",Naperville North HS,womens cross country,oregon
188,Katie Rainsberger,"Colorado Springs, Colo.",Air Academy,womens cross country,oregon
189,Sabrina Southerland,"New York, N.Y.",Benjamin N. Cardozo,womens cross country,oregon
190,Marcel Boet,"Christchurch, New Zealand",St. Andrews College,mens golf,oregon
191,Sam Foust,"Edina, Minn.",Edina HS,mens golf,oregon
192,Kevin Geniza,"Corvallis, Ore.",Crescent Valley HS,mens golf,oregon
193,Ryan Gronlund,"Pleasanton, Calif.",Foothill HS,mens golf,oregon
194,Donald Kay,"San Diego, Calif.",Patrick Henry HS,mens golf,oregon
195,Roberto Lebrija,"Rancho Santa Fe, Calif.",La Jolla Country Day HS,mens golf,oregon
196,Kymer Li,"Hong Kong, China",IMG Academy,mens golf,oregon
197,Thomas Mulligan,"Dublin, Ireland",St. Mary's,mens golf,oregon
198,Teddy Oitzman,"Rancho Santa Fe, Calif.",St. Augustine HS,mens golf,oregon
199,Norman Xiong,"Canyon Lake, Calif.",Temescal Canyon High School,mens golf,oregon
200,Edwin Yi,"Beaumont, Calif.",Lourus Academy HS,mens golf,oregon
201,Madi Daniel,"Bakersfield, Calif.",Bakersfield Christian,womens golf,oregon
202,Amy Matsuoka,"Newport Beach, Calif.",Corona Del Mar,womens golf,oregon
203,Alexis Phadungmartvorakul,"Taft, Calif.",Ambassador Bilingual School,womens golf,oregon
204,Petra Salko,"Turku, Finland",Puolalanmaen Lukio,womens golf,oregon
205,Kathleen Scavo,"Benicia, Calif.",Justin Siena HS,womens golf,oregon
206,Kelsey Ulep,"Rocklin, Calif.",Whitney,womens golf,oregon
207,Cormac Clissold,"New South Wales, Australia",Leumeah HS,mens tennis,oregon
208,Ty Gentry,"Olympia, Wash.",Tumwater,mens tennis,oregon
209,Thomas Laurent,"Montpellier, France",Lycee Jean Monnet High School,mens tennis,oregon
210,Riki Oshima,"Toyama, Japan",Aioi Gakuin HS,mens tennis,oregon
211,Charles Roberts,"Bangkok, Thailand",Thammasat University,mens tennis,oregon
212,Armando Soemarno,"Jakarta, Indonesia",Al-izhar Pondok Labu/Homeschooling Kak Seto,mens tennis,oregon
213,Simon Stevens,"Charleroi, Belgium",Ath?n?e Royal M. Bervoets,mens tennis,oregon
214,Akihiro Tanaka,"Yokohama, Kanagawa",Shonan Institute of Technology,mens tennis,oregon
215,Ethan Young-Smith,"Bend, Ore.",Weil College Prepatory (Calif.),mens tennis,oregon
216,Julia  Eshet,"Hollywood, Fla.",Laurel Springs Online HS,womens tennis,oregon
217,Rifanty Kahfiani,"Bandung, Indonesia",Homeschooling Kak Seto,womens tennis,oregon
218,Julia Lilien,"Scottsdale, Ariz.",Laurel Springs HS,womens tennis,oregon
219,Daniela Nasser,"Tampa, Fla.",Academy of Holy Names,womens tennis,oregon
220,Nia Rose,"New York City, N.Y.",NYC Lab School,womens tennis,oregon
221,Shweta Sangwan,"Bradenton, Fla. (India)",IMG Academy,womens tennis,oregon
222,Alyssa Tobita,"Mililani, Hawaii",Mililani HS,womens tennis,oregon
223,Paiton Wagner,"Cashmere, Wash.",Cashmere HS,womens tennis,oregon
224,Joseph Anderson,"Rancho Cucamonga, Calif.",Upland,mens track,oregon
225,Tanner Anderson,"Spokane, Wash.",North Central,mens track,oregon
226,Sebastian Barajas,"Hood River, Ore.",Hood River Valley HS,mens track,oregon
227,Seth Berdahl,"Forest Grove, OR",Forest Grove,mens track,oregon
228,Drake  Brennan,"Grants Pass, Ore.",Grants Pass,mens track,oregon
229,Jared Briere,"Woonsocket, RI.",Woonsocket,mens track,oregon
230,Reed Brown,"Grapevine, Texas",Southlake Carroll,mens track,oregon
231,Braxton Canady,"Jacksonville, Fla.",Paxon School for Advanced Studies,mens track,oregon
232,Rieker Daniel,"Boring, Ore.",Oregon City,mens track,oregon
233,Orwin Emilien,N/A,N/A,mens track,oregon
234,Bryan Fernandez,"Santa Barbara, Calif.",Dos Pueblos,mens track,oregon
235,Cravon Gillespie,"Pasadena, Calif.",Monrovia,mens track,oregon
236,Blake Haney,"Bakersfield, Calif.",Stockdale,mens track,oregon
237,Jonathan Harvey,"Tracy, Calif.",De La Salle,mens track,oregon
238,Jaxson Hoey,"Downington, Pa.",Downington West,mens track,oregon
239,Charlie Hunter,"Gosford, Australia",Central Coast Grammar School,mens track,oregon
240,Tristan James,"Salem, Ore.",West Salem,mens track,oregon
241,Max Lydum,"Independence, Ore.",Central,mens track,oregon
242,Matthew Maton,"Bend, Ore.",Summit,mens track,oregon
243,Jackson Mestler,"Eugene, Ore.",Sheldon,mens track,oregon
244,Ben Milligan,"Portland, Ore.",Sherwood,mens track,oregon
245,Travis Neuman,"Bend, Ore.",Summit,mens track,oregon
246,Chin Ng,N/A,N/A,mens track,oregon
247,John Nizich,"Oregon City, Ore.",Central Catholic,mens track,oregon
248,Sam Prakel,"Versailles, Ohio",Versailles,mens track,oregon
249,Rocky Rainey,"League City, Texas",LC Clear Falls,mens track,oregon
250,Drew Russert,"Los Altos, Calif.",Mountain View HS,mens track,oregon
251,Spenser Schmidt,"Eugene, Ore.",Churchill,mens track,oregon
252,Julius Shellmire,"Portland, Ore.",Grant,mens track,oregon
253,Damarcus Simpson,"Lafayatte, Ga.",Lafayette,mens track,oregon
254,Mick Stanovsek,N/A,N/A,mens track,oregon
255,Cameron Stone,"Sacramento, Calif.",Sheldon,mens track,oregon
256,Rashad Swank-Jones,"Seattle, Wash.",Garfield,mens track,oregon
257,Austin Tamagno,"Brea, Calif.",Brea Olinda,mens track,oregon
258,Cooper  Teare,"Alameda, Calif.",St. Joseph Notre Dame,mens track,oregon
259,Austin Tharp,"Eugene, Ore.",Sheldon,mens track,oregon
260,Levi Thomet,"Kodiak, Alaska",Kodiak,mens track,oregon
261,Austin Torres,"Red Bluff, Calif.",Red Bluff,mens track,oregon
262,Jackson VanVuren,"Hillsboro, Ore.",Faith Bible Christian,mens track,oregon
263,Myles Webb,"Glendale, Calif.",Oaks Christian,mens track,oregon
264,James West,"Kent, England, UK",Loughborough University,mens track,oregon
265,Jack Yearian,"Tacoma, Wash.",Bellarmine Prep,mens track,oregon
266,JoJo Ananouko,"Portland, Ore.",Jesuit,womens track,oregon
267,Shae Anderson,"Norco, Calif.",Norco,womens track,oregon
268,Lilli Burdon,"Auckland, New Zealand",St. Hilda's,womens track,oregon
269,Carmela Cardama Baez,"Vigo, Spain",IES do Castro,womens track,oregon
270,Alli Cash,"Lexexa, Kan.",Shawnee Mission West,womens track,oregon
271,Chaquinn Cook,"Portland, Ore.",Benson,womens track,oregon
272,Kerissa D'Arpino,"Grants Pass, Ore.",North Valley,womens track,oregon
273,Venessa D'Arpino,"Grants Pass, Ore.",North Valley,womens track,oregon
274,Briyahna DesRosiers,"Chicago, Ill.",North Lawndale Prep,womens track,oregon
275,Makenzie Dunmore,"Powder Springs, Ga.",McEachern,womens track,oregon
276,Susan Ejore,"Nakuru, Kenya",St. Gabriel's Mission School,womens track,oregon
277,Brooke Feldmeier,"Olympia, Wash.",Tumwater,womens track,oregon
278,Rhesa Foster,"Clovis, Calif.",Clovis North,womens track,oregon
279,Amanda Gehrich,"Trabuco Canyon, Calif.",Tesoro,womens track,oregon
280,Madi Greenleaf,"Lake Oswego, Ore.",Lakeridge,womens track,oregon
281,Ashlyn Hare,"Colorado Springs, Colo.",Rampart High,womens track,oregon
282,Jessica Hull,"Albion Park, Australia",Albion Park,womens track,oregon
283,Khadejah Jackson,"Atlanta, Ga.",The Lovett High School,womens track,oregon
284,Alaysha Johnson,"Houston, Texas",Spring,womens track,oregon
