,name,hometown,high school?,sport,college
175,Nils Bruening,"Hamburg, Germany",Corvey Gymnasium,mens soccer,north_carolina
176,Will Campbell,"Wallingford, Pa.",Strath Haven,mens soccer,north_carolina
177,David Mejia,"Weston, Fla.",NSU University School,mens soccer,north_carolina
178,Jesus Bolivar,"Miami, Fla.",Gulliver Prep,mens soccer,north_carolina
179,Alan Winn,"Garland, Texas",Naaman Forest,mens soccer,north_carolina
180,Martin Salas,"Dallas, Texas",Lone Star,mens soccer,north_carolina
181,Alex Moztarzadeh,"Miami, Fla.",Gulliver Prep,mens soccer,north_carolina
182,Alex Rose,"Cary, N.C.",Green Hope,mens soccer,north_carolina
183,Dominic Jensen,"Raleigh, N.C.",Leesville Road,mens soccer,north_carolina
184,Andy Lopez,"Mission, Texas",St. Stephen's Academy,mens soccer,north_carolina
185,Johan Welch,"Richmond, Texas",Foster,mens soccer,north_carolina
186,Liam Williams,"Taupo, New Zealand",Saint Kentigern’s College,mens soccer,north_carolina
187,Jelani Pieters,"Oswego, Ill.",Oswego East,mens soccer,north_carolina
188,Mark Salas,"Dallas, Texas",Lone Star,mens soccer,north_carolina
189,Raul Aguilera,"Sanford, Fla.",Seminole,mens soccer,north_carolina
190,Jeremy Kelly,"Chapel Hill, N.C.",Cardinal Gibbons,mens soccer,north_carolina
191,Alec Smir,"Greensboro, N.C.",Greensboro Day,mens soccer,north_carolina
192,Julius Momkus,"Vilnius, Lithuania",Senvage Gymnasium,mens soccer,north_carolina
193,Luke Ciocca,"Chapel Hill, N.C.",Chapel Hill,mens soccer,north_carolina
194,Mason Wittman,"Palo Alto, Calif.",Palo Alto Senior,mens soccer,north_carolina
195,Zack Olofson,"Raleigh, N.C.",Millbrook,mens soccer,north_carolina
196,Charlie Forecast,"Melton Mowbray, England",Oakham School,mens soccer,north_carolina
197,Prince Agyie,"Takoma Park, Maryland",High Point,mens soccer,north_carolina
198,Giovanni Montesdeoca,"Dallas, Texas",Lone Star,mens soccer,north_carolina
199,Sam DeSantis,"Hickory, N.C.",Saint Stephens,womens soccer,north_carolina
200,Madison Schultz,"Edmonds, Wash.",Edmonds-Woodway,womens soccer,north_carolina
201,Sydney Spruill,"Greenville, N.C.",Rose,womens soccer,north_carolina
202,Ru Mucherera,"Oviedo, Fla.",Hagerty,womens soccer,north_carolina
203,Bridgette Andrzejewski,"Lutherville, Md.",McDonogh,womens soccer,north_carolina
204,Maya Worth,"Cary, N.C.",Green Hope,womens soccer,north_carolina
205,Taylor Otto,"Apex, N.C.",Middle Creek,womens soccer,north_carolina
206,Annie Kingman,"Woodside, Calif.",Saint Francis,womens soccer,north_carolina
207,Abby Elinsky,"Rocky River, Ohio",Rocky River,womens soccer,north_carolina
208,Frances Reuland,"Carrboro, N.C.",Chapel Hill,womens soccer,north_carolina
209,Joanna Boyles,"Raleigh, N.C.",Sanderson,womens soccer,north_carolina
210,Emily Fox,"Ashburn, Va.",Stone Bridge,womens soccer,north_carolina
211,Jessie Scarpa,"Lakeland, Fla.",George Jenkins,womens soccer,north_carolina
212,Samantha Leshnak,"Liberty Township, Ohio",Mount Notre Dame,womens soccer,north_carolina
213,Morgan Goff,"Dunn, N.C.",Triton,womens soccer,north_carolina
214,Zoe Redei,"Highland Park, Ill.",Highland Park,womens soccer,north_carolina
215,Julia Ashley,"Verona, N.J.",Verona,womens soccer,north_carolina
216,Alea Hyatt,"Santa Barbara, Calif.",Santa Barbara,womens soccer,north_carolina
217,Megan Buckingham,"Novi, Mich.",Northville,womens soccer,north_carolina
218,Alessia Russo,"Kent, England",St. Simon Stock Catholic,womens soccer,north_carolina
219,Kate Morris,"Plymouth, Mich.",Ladywood Catholic,womens soccer,north_carolina
220,Miah Araba,"Chapel Hill, N.C.",Carrboro,womens soccer,north_carolina
221,Abby Staker,"Cary, N.C.",Cary Academy,womens soccer,north_carolina
222,Lotte Wubben-Moy,"London, England",Stoke Newington,womens soccer,north_carolina
223,Kasey Parker,"Columbia, S.C.",Dreher,womens soccer,north_carolina
224,Maggie Bill,"Huntington, N.Y.",St. Anthony's,womens soccer,north_carolina
225,Dorian Bailey,"Mission, Kan.",St. Teresa's Academy,womens soccer,north_carolina
226,Brooke Bingham,"Laurel Springs, N.C.",Homeschooled,womens soccer,north_carolina
227,Nicole Crutchfield,"Durham, N.C.",Northern Durham,womens soccer,north_carolina
228,Alex Kimball,"Chapel Hill, N.C.",Chapel Hill,womens soccer,north_carolina
