,name,hometown,high school?,sport,college
152,Darius West,"Lima, Ohio",Central Catholic,football,kentucky
153,Chris Westry,"Orange Park, Fla.",Oakleaf,football,kentucky
154,Chris Whittaker,"Hollywood, Fla.",Chaminade-Madonna,football,kentucky
155,Domonique Williams,"Knoxville, Tenn.",Fulton,football,kentucky
156,Quintin Wilson,"Cincinnati, Ohio",Turpin,football,kentucky
157,Terry Wilson,"Oklahoma City, Okla.",Del City,football,kentucky
158,Mason Wolfe,"Henderson, Ky.",Henderson County,football,kentucky
159,Walker Wood,"Lexington, Ky.",Lafayette,football,kentucky
160,Jordan Wright,"Fort Lauderdale, Fla.",Dillard,football,kentucky
161,Tristan Yeomans,"Waycross, Ga.",Ware County,football,kentucky
162,Landon Young,"Lexington, Ky.",Lafayette,football,kentucky
163,John Michael Bandy,"Lilburn, Ga.",Parkview,mens soccer,kentucky
164,Nicholas Blassou,"Baltimore, Md.",Rockville,mens soccer,kentucky
165,Elijah Borneo,"Morgantown, W.Va.",Morgantown,mens soccer,kentucky
166,Kalil ElMedkhar,"Middletown, Del.",Philadelphia Union Academy,mens soccer,kentucky
167,Daniel Evans,"The Colony, Texas",Lone Star,mens soccer,kentucky
168,Enrique Facusse,"Tegucigalpa, Honduras",Monteverde Academy,mens soccer,kentucky
169,Ian Farquhar,"Marietta, Ga.",George Walton,mens soccer,kentucky
170,Nicolai Fremstad,"Gjovik, Norwary",Øvrebyen Videregående,mens soccer,kentucky
171,Cole Guindon,"Frisco, Texas",Rick Reedy,mens soccer,kentucky
172,Jackson Hawthorne,"Raleigh, N.C.",North Raleigh Christian,mens soccer,kentucky
173,Luis Hernandez,"Columbus, Ohio",N/A,mens soccer,kentucky
174,Clay Holstad,"Birmingham, Ala.",Tomball,mens soccer,kentucky
175,Jack Hudson,"Atlanta, Ga.",Henry W. Grady,mens soccer,kentucky
176,Tanner Hummel,"Kennesaw, GA.",Kennesaw Mountain,mens soccer,kentucky
177,Colin Innes,"Olathe, Kan.",Blue Valley West,mens soccer,kentucky
178,Leon Jones,"Glasgow, Scotland",N/A,mens soccer,kentucky
179,Brock Lindow,"Toronto, Canada",Lawrence Park Collegiate,mens soccer,kentucky
180,Aimé Mabika,"Lexington, Ky.",Henry Clay,mens soccer,kentucky
181,Matt Mazur,"Frisco, Texas",Wakeland,mens soccer,kentucky
182,Marcel Meinzer,"Herxheim, Germany",N/A,mens soccer,kentucky
183,Keyarash Namjoupanah,"Nashville, Tenn.",Shattuck Saint Mary’s,mens soccer,kentucky
184,Jason Reyes,"San Jose, Costa Rica",EMVA,mens soccer,kentucky
185,Bailey Rouse,"Littleton, Colo.",Chatfield,mens soccer,kentucky
186,Robert Screen,"Raleigh, N.C.",Wakefield,mens soccer,kentucky
187,Sam Stockton,"Louisville, Ky.",Trinity,mens soccer,kentucky
188,JJ Williams,"Montgomery, Ala.",Alabama Christian Academy,mens soccer,kentucky
189,Payton Atkins,"Cincinnati, Ohio",Turpin,womens soccer,kentucky
190,Marissa Bosco,"St. Charles, Illinois",St. Charles North High School,womens soccer,kentucky
191,Gina Crosetti,"Oakland, California",Miramonte High School,womens soccer,kentucky
192,Cami Dade,"Jacksonville, Florida",The Bolles School,womens soccer,kentucky
193,Camille Downing,"Lexington, Kentucky",Lexington Christian,womens soccer,kentucky
194,Taya Edwards,"Jacksonville, Florida",The Bolles School,womens soccer,kentucky
195,Julia Grosso,"Sunrise, Florida",St. Thomas,womens soccer,kentucky
196,Foster Ignoffo,"Geneva, Illinois",Geneva High School,womens soccer,kentucky
197,Miranda Jimenez,"Tulare, California",Mission Oak,womens soccer,kentucky
198,Yuuka Kurosaki,"Fukuoka, Japan",Fujieda Junshin High,womens soccer,kentucky
199,Hannah Leonard,"Greeneville, Tennessee",Greeneville,womens soccer,kentucky
200,Tamaki Machi,"Tokyo, Japan",Sfida Setagaya,womens soccer,kentucky
201,Gretchen Mills,"Fishers, Indiana",Fishers,womens soccer,kentucky
202,Eva Mitchell,"Nicholasville, Kentucky",West Jessamine,womens soccer,kentucky
203,Caroline Newland,"Henderson, Kentucky",Reitz Memorial,womens soccer,kentucky
204,Hollie Olding,"London, England",Chelsea FC,womens soccer,kentucky
205,Hannah Potter,"Williamsburg, Virginia",Lafayette,womens soccer,kentucky
206,Tanya Samarzich,"Upland, California",Upland HS,womens soccer,kentucky
207,Emma Shields,"Houston, Texas",Houston Memorial,womens soccer,kentucky
208,Sarah Siekkinen,"Clarkston, Mich.",N/A,womens soccer,kentucky
209,Abby Steiner,"Dublin, Ohio",Dublin Coffman,womens soccer,kentucky
210,LaMaya Williams,"Gilbert, Arizona",Chandler High School,womens soccer,kentucky
211,Payton Woodward,"Fayetteville, Arkansas",Fayetteville,womens soccer,kentucky
212,Hikari Yamada,"Shizuoka, Japan",Tokoha Gakuen Tachibana,womens soccer,kentucky
213,Allie Zerr,"Aurora, Colorado",Grandview,womens soccer,kentucky
214,Dylan Allen,"Louisville, Ky.",N/A,mens cross country,kentucky
215,Cole Dowdy,"Crestwood, Ky.",South Oldham,mens cross country,kentucky
216,Tanner Dowdy,"Crestwood, Ky.",South Oldham,mens cross country,kentucky
217,Brennan Fields,"Richmond, Ky.",Madison Central,mens cross country,kentucky
218,Tom Moulai,N/A,N/A,mens cross country,kentucky
219,Kendall Muhammad,"Lexington, Ky.",Dunbar,mens cross country,kentucky
220,Patrick Schaefer,"Louisville, Ky.",N/A,mens cross country,kentucky
221,Gabriel Szalay,"Wadsworth, Ohio",Wadsworth High School,mens cross country,kentucky
222,Matthew Thomas,"Louisville, Ky.",St. Xavier,mens cross country,kentucky
223,Zachary Wachs,"Ardsley, N.Y.",Ardsley High School,mens cross country,kentucky
224,Trevor Warren,"Louisville, Ky.",N/A,mens cross country,kentucky
225,Ben Young,"Lexington, Ky.",Tates Creek,mens cross country,kentucky
226,Emily Akin,N/A,N/A,womens cross country,kentucky
227,Rachel Boice,"Buckner, Ky.",Oldham County High School,womens cross country,kentucky
228,Sophie Carrier,"Shaker Heights, Ohio",Shaker Heights High School,womens cross country,kentucky
229,Isabella Galvez,"Elizabethtown, Ky.",Elizabethtown High School,womens cross country,kentucky
230,Kaitlyn Lacy,"Louisville, Ky.",Male High School,womens cross country,kentucky
231,Mallory Liggett,"Hilton Head, S.C.",Hilton Head High School,womens cross country,kentucky
232,Lainey McKinley,"Wilmette, Ill.",Loyala Academy,womens cross country,kentucky
233,Sarah Michels,"Louisville, Ky.",Assumption HIgh School,womens cross country,kentucky
234,Brooke Nohilly,"Cross River, NY",John Jay,womens cross country,kentucky
235,Madisyn Peeples,"Bowling Green, Ky.",Bowling Green,womens cross country,kentucky
236,Caitlin Shepard,"Lake Zurich, Ill.",Lake Zurich,womens cross country,kentucky
237,Kelli Walsh,"Centerville, Ohio",Centerville High School,womens cross country,kentucky
238,Keely Wells,"Louisville, Ky.",Eastern High School,womens cross country,kentucky
239,Cullan Brown,"Eddyville, Ky.",Lyon County,mens golf,kentucky
240,Jacob Cook,"Frankfort, Ky.",Franklin County,mens golf,kentucky
241,Lukas Euler,"Dieburg, Germany",Alfred-Delp Schule Dieburg,mens golf,kentucky
242,Alex Goff,"Kings Mountain, N.C.",Kings Mountain,mens golf,kentucky
243,Allen Hamilton,"Louisville, Ky.",Saint Xavier,mens golf,kentucky
244,Jay Kirchdorfer,"Louisville, Ky.",Saint Xavier,mens golf,kentucky
245,Matt Liston,"Louisville, Ky.",Saint Xavier,mens golf,kentucky
246,Max Mehles,"Pulheim, Germany",Abtei-Gymnasium Brauweiler,mens golf,kentucky
247,Fred Allen Meyer,"Nicholasville, Ky.",West Jessamine,mens golf,kentucky
248,Zach Norris,"McKee, Ky.",Jackson County,mens golf,kentucky
249,Fadhli Soetarso,"Jakarta, Indonesia",Global Jaya International School,mens golf,kentucky
250,Ryan Bender,"Louisville, Ky.",Sacred Heart Academy,womens golf,kentucky
251,Leonie Bettel,"Vienna, Austria",Grg3 Kundmanngasse,womens golf,kentucky
252,Claire Carlin,"Keller, Texas",Keller High School,womens golf,kentucky
253,Josephine Chang,"Rancho Cucamonga, Calif.",Diamond Bar High School,womens golf,kentucky
254,Sarah Fite,"Maysville, Ky.",Mason County High School,womens golf,kentucky
255,Casey Ott,"Conway, Ark.",Conway High School,womens golf,kentucky
256,Sarah Shipley,"Hastings, Mich.",Delton Kellogg High School,womens golf,kentucky
257,Rikke Svejgård Nielsen,"Esbjerg, Denmark",Rybners Almene Gymnasium,womens golf,kentucky
258,Wyatt Amdor,"Dresher, Pa.",Upper Dublin,mens swimming,kentucky
259,Bowen Anderson,"Granger, Ind.",Penn HS,mens swimming,kentucky
260,Shane Anderson,"Auburn, Calif.",Bear River HS,mens swimming,kentucky
261,Kyle Barker,"Aldie, Va.",John Champe HS,mens swimming,kentucky
262,Louis Barker,"Crawley, England",Millfield School,mens swimming,kentucky
263,Matthew Beach,"Franklin, Tenn.",Centennial HS,mens swimming,kentucky
264,Daniel Blake,"Campbell, Calif.",Westmont HS,mens swimming,kentucky
265,Connor Blandford,"Clayton, N.C.",Corinth Holders HS,mens swimming,kentucky
266,Glen Brown,"Kokomo, Ind.",Fishers HS,mens swimming,kentucky
267,David Dingess,"Marietta, Ga.",George Walton HS,mens swimming,kentucky
268,Austin Haney,"Fort Mitchell, Ky.",Beechwood HS,mens swimming,kentucky
269,Jason Head,"Dallas, Texas",Keller Central HS,mens swimming,kentucky
270,Andrew Huenniger,"Snellville, Ga.",Brookwood HS,mens swimming,kentucky
271,Jarod Kehl,"Montour, Pa.",Commonwealth Connections Academy,mens swimming,kentucky
272,Trent Lakes,"Richmond, Ky.",Madison Central HS,mens swimming,kentucky
273,Chase Lane,"Tallahassee, Fla.",Lawton Chiles HS,mens swimming,kentucky
274,Seb Masterton,"Reading, England",Maiden Erlegh School,mens swimming,kentucky
275,John Mitchell,"Atlanta, Ga.",Chamblee Charter,mens swimming,kentucky
276,Daniel Orcutt,"Ft. Walton Beach, Fla.",Fort Walton Beach HS,mens swimming,kentucky
277,Hank Siefert,"Xenia, Ohio",Xenia HS,mens swimming,kentucky
278,Nick Smith,"Covington, Ky.",Covington Catholic HS,mens swimming,kentucky
279,Mike Summe,"Crestview Hills, Ky.",Covington Catholic HS,mens swimming,kentucky
280,Josh Swart,"San Clemente, Calif.",San Clemente HS,mens swimming,kentucky
281,Alex Taylor,"Snellville, Ga.",Brookwood HS,mens swimming,kentucky
282,Peter Wetzlar,"Harare, Zimbabwe",Westville Boys,mens swimming,kentucky
283,Mason Wilby,"Gainesville, Fla.",Buchholz HS,mens swimming,kentucky
284,Bailey Bonnett,"Pittsburgh, Pa.",Highlands HS,womens swimming,kentucky
285,Kayla Churman,"Wexford, Pa.",North Allegheny Senior High,womens swimming,kentucky
286,Courtney Clark,"Indian Harbour Beach, Fla.",Satellite High School,womens swimming,kentucky
287,Emma Dellmore,"The Woodlands, Texas",The Woodlands College Park,womens swimming,kentucky
288,Lauren Denham,"Lexington, Ky.",Paul Laurence Dunbar HS,womens swimming,kentucky
289,Savannah DuPuis,"Encinitas, Calif.",San Clemente HS,womens swimming,kentucky
290,Lauren Edelman,"Fishers, Ind.",Fishers HS,womens swimming,kentucky
291,Kailey Francetic,"Hudson, Ohio",Walsh Jesuit HS,womens swimming,kentucky
292,Geena Freriks,"Norwalk, Ohio",Norwalk HS,womens swimming,kentucky
293,Riley Gaines,"Gallatin, Tenn.",Station Camp,womens swimming,kentucky
294,Ali Galyer,"Greenville, S.C.",JL Mann,womens swimming,kentucky
295,Jaida Garrett,"Snellville, Ga.",South Gwinnett HS,womens swimming,kentucky
296,Izzy Gati,"El Dorado, Ark.",The Madeira School (Va.),womens swimming,kentucky
